SourceID,TargetID,Source,Target,Line
165,52,Oakwood,Cockfosters,
102,103,Heathrow Terminal 5,Heathrow Terminals 2 & 3,
103,100,Heathrow Terminals 2 & 3,Hatton Cross,
100,116,Hatton Cross,Hounslow West,
116,114,Hounslow West,Hounslow Central,
114,115,Hounslow Central,Hounslow East,
115,167,Hounslow East,Osterley,
167,26,Osterley,Boston Manor,
26,159,Boston Manor,Northfields,
159,200,Northfields,South earling,
200,0,South earling,Acton Town,
100,101,Hatton Cross,Heathrow Terminal 4,
101,103,Heathrow Terminal 4,Heathrow Terminals 2 & 3,
30,216,Brixton,Stockwell,Vic
216,238,Stockwell,Vauxhal,
238,175,Vauxhal,Pimlico,
175,239,Pimlico,Victoria,
239,90,Victoria,Green Park,
90,169,Green Park,Oxford Circus,
169,242,Oxford Circus,Warren Street,
242,75,Warren Street,Euston,
75,126,Euston,King's Cross & St Pancras International,
126,107,King's Cross & St Pancras International,Highbury & Islington,
107,81,Highbury & Islington,Finsbury Park,
81,195,Finsbury Park,Seven Sisters,
195,227,Seven Sisters,Tottenham Hale,
227,23,Tottenham Hale,Blackhorse Road,
23,240,Blackhorse Road,Walthamstow Central,
244,11,Waterloo,Bank,W&C
